series,backend,condition,n,seed,shots,kl,tvd,integral,analytic_ref,abs_error,depth,ops,param_file,source_file
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,3,9,262144,0.057922962306850206,0.12930895537620626,8.475985473351267,7.561698543939756,0.914286929411511,244,"{""ecr"": 57, ""measure"": 3, ""rz"": 203, ""sx"": 126, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q30_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,4,9,262144,0.07927594286266683,0.15438331016415513,8.455945653960136,7.561698543939756,0.8942471100203795,319,"{""ecr"": 76, ""measure"": 4, ""rz"": 276, ""sx"": 171, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q40_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,5,5,262144,0.12484414784080151,0.19895136226931828,8.653970759047379,7.561698543939756,1.0922722151076227,328,"{""ecr"": 113, ""measure"": 5, ""rz"": 396, ""sx"": 242, ""x"": 6}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q50_seed05_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,6,2,262144,0.18272397650598746,0.24606477055743697,8.899064509427014,7.561698543939756,1.3373659654872574,492,"{""ecr"": 159, ""measure"": 6, ""rz"": 533, ""sx"": 323, ""x"": 12}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q60_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,7,0,262144,0.2404392335779068,0.28758212803006217,9.066514596619584,7.561698543939756,1.5048160526798275,559,"{""ecr"": 204, ""measure"": 7, ""rz"": 662, ""sx"": 387, ""x"": 10}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q70_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_yonsei,ibm_yonsei,aer_noise_model_from_backend,8,2,262144,0.1472603681300994,0.21483870178733205,8.693666025215006,7.561698543939756,1.1319674812752494,659,"{""ecr"": 172, ""measure"": 8, ""rz"": 612, ""sx"": 379, ""x"": 18}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q80_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,2,0,262144,9.769830245556679e-06,0.0013317067658515404,8.414482209099688,7.561698543939756,0.8527836651599321,20,"{""cz"": 3, ""measure"": 2, ""rz"": 15, ""sx"": 14}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q20_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,3,9,262144,1.564514913952761e-05,0.0016094765897781823,7.560786162699269,7.561698543939756,0.0009123812404867593,180,"{""cz"": 57, ""measure"": 3, ""rz"": 115, ""sx"": 138, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q30_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,4,9,262144,3.4682586760750736e-05,0.0030293709304721945,7.546903502027583,7.561698543939756,0.014795041912172735,118,"{""cz"": 32, ""measure"": 4, ""rz"": 106, ""sx"": 104}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q40_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,5,5,262144,4.699153615333535e-05,0.0038028015039881465,7.569837633613475,7.561698543939756,0.008139089673719013,210,"{""cz"": 67, ""measure"": 5, ""rz"": 162, ""sx"": 176, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q50_seed05_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,6,2,262144,7.051434017412794e-05,0.00432650454929648,7.560461028713747,7.561698543939756,0.0012375152260091227,166,"{""cz"": 48, ""measure"": 6, ""rz"": 161, ""sx"": 156}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q60_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,7,0,262144,0.00028598642232780013,0.007963786469058928,7.560476166476676,7.561698543939756,0.001222377463079738,251,"{""cz"": 86, ""measure"": 7, ""rz"": 220, ""sx"": 233, ""x"": 2}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q70_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_ideal_transpiled_ibm_berlin,ibm_berlin,aer_ideal_backend_transpiled,8,2,262144,0.0034829477924670804,0.029459097888863355,7.569451983691523,7.561698543939756,0.0077534397517666775,214,"{""cz"": 64, ""measure"": 8, ""rz"": 215, ""sx"": 208}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q80_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,2,0,262144,0.0002827053553152072,0.008290250771246972,8.466250166254346,7.561698543939756,0.9045516223145897,20,"{""cz"": 3, ""measure"": 2, ""rz"": 15, ""sx"": 14}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q20_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,3,9,262144,0.003993714705905774,0.028776423637925007,7.7563369456628335,7.561698543939756,0.19463840172307734,180,"{""cz"": 57, ""measure"": 3, ""rz"": 115, ""sx"": 138, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q30_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,4,9,262144,0.0032392797605381544,0.024772874695186065,7.7018232804323885,7.561698543939756,0.14012473649263235,118,"{""cz"": 32, ""measure"": 4, ""rz"": 106, ""sx"": 104}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q40_seed09_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,5,5,262144,0.005062352770513541,0.030356944072305214,7.716966832720964,7.561698543939756,0.15526828878120824,210,"{""cz"": 67, ""measure"": 5, ""rz"": 162, ""sx"": 176, ""x"": 1}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q50_seed05_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,6,2,262144,0.0053316330048422435,0.032162515891432535,7.707492235684345,7.561698543939756,0.145793691744589,166,"{""cz"": 48, ""measure"": 6, ""rz"": 161, ""sx"": 156}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q60_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,7,0,262144,0.00857679816073176,0.04060295240616854,7.738936381705462,7.561698543939756,0.17723783776570556,251,"{""cz"": 86, ""measure"": 7, ""rz"": 220, ""sx"": 233, ""x"": 2}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q70_seed00_reps8.npz,generated_by_hardware_iqae_k1_workflow
aer_noise_from_ibm_berlin,ibm_berlin,aer_noise_model_from_backend,8,2,262144,0.009715394764007072,0.04497687860320103,7.72098531153248,7.561698543939756,0.15928676759272342,214,"{""cz"": 64, ""measure"": 8, ""rz"": 215, ""sx"": 208}",experiments/real_backend_yonsei/hn_chebyshev_stateprep/params/hn_chebyshev_q80_seed02_reps8.npz,generated_by_hardware_iqae_k1_workflow
