task,quantity,family,mode,method,reps,data_qubits,objective_qubits,total_problem_qubits,phase_qubits,shots,phase_states,estimator_model,qae_mae_vs_analytic,qae_median_abs_error_vs_analytic,qae_mae_vs_exact,qae_median_abs_error_vs_exact,exact_mae_vs_analytic,qae_estimate_std,n_points,n_trials
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.025188547901100155,0.025641343182794485,0.0011737105604843654,0.000716762619529826,0.025386680341171364,0.28361727152143,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.025211453923172797,0.025760033126945248,0.0008310202982806728,0.0005804985340945867,0.025386680341171364,0.2836407945239716,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,HN-MLP,24,10,1,11,10,8192,1024,qpe_phase_register_mean_sampling,0.025188083870339655,0.025479651637626194,0.0006363200789351272,0.0004833167392284121,0.025386680341171364,0.2836673818058381,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,4,512,16,qpe_phase_register_mean_sampling,0.030498153557944694,0.022905530518574316,0.036067101337156335,0.012229442138538993,0.031144956445024765,0.32274492889591083,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,4,2048,16,qpe_phase_register_mean_sampling,0.02809989060335535,0.0232388317899056,0.034377729157836524,0.009100178563977879,0.031144956445024765,0.3219412482531235,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,4,8192,16,qpe_phase_register_mean_sampling,0.027568195285441785,0.024065795831531928,0.03383827037174141,0.007784433215137734,0.031144956445024765,0.32173554502355006,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,6,512,64,qpe_phase_register_mean_sampling,0.022876882958701782,0.02135596756597785,0.012471002689557031,0.004113590994082917,0.031144956445024765,0.2945130133275615,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,6,2048,64,qpe_phase_register_mean_sampling,0.022206789723726528,0.017624970106698445,0.012056256003450413,0.004007915169458864,0.031144956445024765,0.2944058437430671,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,6,8192,64,qpe_phase_register_mean_sampling,0.022275684186366915,0.01808618804217338,0.011693196822799963,0.003732536305214834,0.031144956445024765,0.29426460285085254,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,8,512,256,qpe_phase_register_mean_sampling,0.02876822160838486,0.026985847257449014,0.0035674453059039877,0.002512119484178066,0.031144956445024765,0.28381318529139776,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,8,2048,256,qpe_phase_register_mean_sampling,0.028818767939893197,0.025841469572722098,0.003270728546452427,0.002174972270851446,0.031144956445024765,0.28379348480878536,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,8,8192,256,qpe_phase_register_mean_sampling,0.028808755732288967,0.02585512955933139,0.0031227297827201915,0.0020998607601390024,0.031144956445024765,0.28376954873027677,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,10,512,1024,qpe_phase_register_mean_sampling,0.030795325917299114,0.031888741317776026,0.0010924237065593379,0.0005397070114164099,0.031144956445024765,0.28320601553870445,9,100
second_collision_2d,D2_depth_dose,chebyshev,theta,qGAN,24,10,1,11,10,2048,1024,qpe_phase_register_mean_sampling,0.03079989692001293,0.031865752945461234,0.0007920322798390263,0.0004612175505793459,0.031144956445024765,0.2832225400033297,9,100
