n,harmonic_index,iqae_round,k,one_count,shots,round_one_count,round_shots,a_min,a_max,theta_min,theta_max,job_id,logical_depth,logical_size,transpiled_depth,transpiled_size,transpiled_ecr,transpiled_cz,transpiled_sx,transpiled_x,transpiled_rz,transpile_seconds,runtime_seconds,source,backend,condition,profile,shots_per_round,epsilon_target,alpha,repeat
5,1,1,0,664,2048,664,2048,0.29618150516674546,0.3531786729240368,0.09158822169997952,0.10128310720467174,d97058b0iros73egqie0,65,142,289,553,0,92,223,0,237,0.005646944046020508,69.49596691131592,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,7
5,1,2,8,984,2048,984,2048,0.316641756668514,0.3199783412450248,0.09512047713161109,0.09569047732806304,d9705ppv0aoc73c2i1og,73,150,9214,16370,0,3166,6867,0,6336,0.044234514236450195,69.01001691818237,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,7
5,1,1,0,647,2048,647,2048,0.28809559127823975,0.34470667208220707,0.09017321012840329,0.09986862688506123,d9706dj0iros73egqjf0,65,142,285,555,0,92,225,0,237,0.005421161651611328,68.92017316818237,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,8
5,1,2,12,1019,2048,1019,2048,0.3148967497414456,0.3171612533552436,0.09482173157566857,0.09520932952606317,d9706v1v0aoc73c2i2q0,77,154,13651,24215,0,4694,10171,0,9349,0.06217026710510254,71.31893420219421,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,8
5,1,1,0,703,2048,703,2048,0.31476951359170907,0.3725765107500439,0.09479993128597634,0.10449372486034925,d9707j1v0aoc73c2i3cg,65,142,287,561,0,92,225,0,243,0.0054225921630859375,68.87863039970398,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,9
5,1,2,9,1066,2048,1066,2048,0.33511683563044803,0.33814538117684484,0.09825750942268942,0.09876750989794324,d970849v0aoc73c2i3s0,74,151,10350,18273,0,3545,7686,0,7041,0.04920840263366699,70.80169653892517,real_raw,ibm_berlin,runtime_raw,raw,2048,0.005,0.05,9
5,1,1,0,1242,4096,1242,4096,0.2837291593560711,0.3232312158762172,0.08940420820305181,0.09624466401231094,d9708otd0ogc73bgj53g,65,142,285,552,0,92,224,0,235,0.005733489990234375,77.58801031112671,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,0
5,1,2,15,2183,4096,2183,4096,0.30120918320920065,0.30248151395795064,0.09246238678875728,0.09268294453428148,d9709c9v0aoc73c2i4vg,80,157,17078,30088,0,5843,12652,0,11592,0.07818245887756348,80.51501250267029,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,0
5,1,1,0,1382,4096,1382,4096,0.3173018634091056,0.35792832174287326,0.09523337213547109,0.10207270875261837,d970a2k4ttfc73coq4e0,65,142,280,562,0,95,230,0,236,0.0059511661529541016,76.71704697608948,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,1
5,1,2,14,2143,4096,2143,4096,0.3388901978135521,0.3402932630695248,0.09889276335820953,0.09912853057430587,d970am30iros73egqn90,79,156,15975,28121,0,5461,11828,0,10831,0.07509136199951172,79.78649687767029,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,1
5,1,1,0,1335,4096,1335,4096,0.30601739644575593,0.346293630306611,0.09329451700259346,0.10013419565350237,d970bcc4ttfc73coq5k0,65,142,275,555,0,92,226,0,236,0.005772829055786133,79.05562734603882,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,2
5,1,2,13,2132,4096,2132,4096,0.32895602424984594,0.33045199164538286,0.09721647984026066,0.09746971097146052,d970c0dd0ogc73bgj7vg,78,155,14832,26108,0,5055,10970,0,10082,0.06862640380859375,80.44596099853516,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,2
5,1,1,0,1285,4096,1285,4096,0.29402763656341185,0.3339013152770411,0.091212419191949,0.09805249825719653,d970cn1v0aoc73c2i800,65,142,286,559,0,92,225,0,241,0.005514621734619141,77.27139568328857,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,3
5,1,2,16,2053,4096,2053,4096,0.31359896500212003,0.31480755132955274,0.09459926065141376,0.09480644881620828,d970dahv0aoc73c2i8i0,81,158,18145,32080,0,6210,13463,0,12406,0.08113789558410645,80.30986905097961,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,3
5,1,1,0,1249,4096,1249,4096,0.28540483947713907,0.324969024443832,0.08969974048153669,0.09654013282331782,d970e0td0ogc73bgj9q0,65,142,289,546,0,89,218,0,238,0.005571603775024414,76.67821216583252,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,4
5,1,2,15,2068,4096,2068,4096,0.3020409254780927,0.30331423469819324,0.09260659864587611,0.09282715384249608,d970ekc4ttfc73coq8g0,80,157,17122,30080,0,5846,12649,0,11584,0.07609963417053223,80.83616828918457,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,4
5,1,1,0,1320,4096,1320,4096,0.30241882593983116,0.3425775773745272,0.09267208377617002,0.0995118784716735,d970fald0ogc73bgjb20,65,142,283,561,0,92,225,0,243,0.005506277084350586,78.2162172794342,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,5
5,1,2,13,2134,4096,2134,4096,0.3289730256995934,0.3304690130335442,0.09721935941807304,0.09747259060505312,d970fuc4ttfc73coq9lg,78,155,14793,26040,0,5052,10911,0,10076,0.0682063102722168,80.33743858337402,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,5
5,1,1,0,1473,4096,1473,4096,0.3391880257455633,0.38041757016881417,0.09894282934611959,0.10578159033692518,d970gkk4ttfc73coqa9g,65,142,279,557,0,92,226,0,238,0.005896806716918945,77.34373021125793,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,6
5,1,2,16,2091,4096,2091,4096,0.3582043100210313,0.35945314713152005,0.10211851808517435,0.10232570649426377,d970h8dd0ogc73bgjcp0,81,158,18228,32073,0,6210,13462,0,12400,0.08304238319396973,81.32816815376282,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,6
5,1,1,0,1337,4096,1337,4096,0.3064973111236646,0.34678899881371117,0.09337737067057268,0.10021703410615397,d970hupv0aoc73c2icng,65,142,289,553,0,92,223,0,237,0.005738973617553711,76.7766273021698,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,7
5,1,2,13,2124,4096,2124,4096,0.32888802730434524,0.3303839150122853,0.0972049626492379,0.09745819357050152,d970ii9v0aoc73c2idbg,78,155,14809,26153,0,5079,10986,0,10087,0.06775522232055664,80.44733619689941,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,7
5,1,1,0,1178,4096,1178,4096,0.26842373784687173,0.30732760828395816,0.0866795528077619,0.09352062985432963,d970j8pv0aoc73c2idvg,65,142,285,555,0,92,225,0,237,0.005430459976196289,128.80194067955017,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,8
5,1,2,14,2203,4096,2203,4096,0.2905683107093267,0.29191439718210427,0.0906071547111949,0.0908429242259984,d970k91v0aoc73c2ieu0,79,156,15838,28065,0,5440,11785,0,10839,0.07182741165161133,80.53965711593628,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,8
5,1,1,0,1286,4096,1286,4096,0.2942672773918434,0.3341493158543902,0.09125427072926692,0.09809434139867858,d970l044ttfc73coqe7g,65,142,287,561,0,92,225,0,243,0.005838632583618164,76.24328970909119,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,9
5,1,2,16,2113,4096,2113,4096,0.31401084500022386,0.31521986350562464,0.09466989357631299,0.09487708230386396,d970lj9v0aoc73c2ig4g,81,158,18238,32120,0,6228,13494,0,12397,0.08354473114013672,80.17908120155334,real_raw,ibm_berlin,runtime_raw,raw,4096,0.005,0.05,9
